source,frame,control,total,position_mse,x_mse,y_mse,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,legacy_valid,legacy_true_valid,legacy_p_ratio_r2,legacy_p_ratio_mae,legacy_target_variance,strain_x_mae,strain_y_mae,experiment,scope,seed
depablo_low_temp,100,ae,20,1.1074294434365584e-05,8.047939502375812e-06,1.41006491958251e-05,20,20,-0.1535838612714473,0.3592121956928167,0.1299516855584822,20,20,-0.1538233376655109,0.3605508656903651,0.1309363081666797,0.0037993577,0.0053690644,latent_low_data,shared3,456
depablo_mixed_temp,0,ae,20,3.824806083230215e-06,7.408194915115018e-06,2.414172616482801e-07,0,0,,,,0,0,,,,0.0044966075,0.0004670326,latent_low_data,shared3,456
depablo_mixed_temp,10,ae,20,1.9383991329391392e-05,2.149894375520489e-05,1.726903985854733e-05,20,20,-0.1575251510932596,0.9809478384442628,3.0043239701009563,20,20,0.0259006599607491,0.3602830795250141,0.1792210970466572,0.0036662146,0.0010057965,latent_low_data,shared3,456
depablo_mixed_temp,50,ae,20,2.0118904255639337e-05,1.912919473312513e-05,2.110861294255528e-05,20,20,-0.0362767452174215,0.3140040024416521,0.1274876421800012,20,20,-0.0377077072897131,0.3156001674062777,0.1290510646927359,0.0016941316,0.0024016737,latent_low_data,shared3,456
depablo_mixed_temp,100,ae,20,2.9281498979116804e-05,2.6809293819951564e-05,3.175370523536003e-05,20,20,-0.060758578059435,0.3258302056608954,0.1249158133632106,20,20,-0.0616738985346452,0.3274058469043847,0.1264354805514444,0.0031836447,0.004850243,latent_low_data,shared3,456
reid,0,ae,20,1.277975982816315e-06,2.417085943307029e-06,1.3886599390389164e-07,0,0,,,,0,0,,,,0.0026432816,0.0003008694,latent_low_data,shared3,456
reid,10,ae,20,5.046442595357803e-07,8.501833562490902e-07,1.5910516282247045e-07,20,20,-0.1502897563702316,0.1546829503495246,0.0283570467788776,20,20,-0.1498807172897058,0.1546166418922477,0.0283466184553629,0.0014453793,0.0003190498,latent_low_data,shared3,456
reid,50,ae,20,2.488062074235131e-06,3.700688353092119e-06,1.2754359147493232e-06,20,20,0.2125077246516825,0.1482551328488625,0.0367468043569681,20,20,0.2124836950469152,0.1482698053134921,0.03674579830514,0.0015737992,0.0011637568,latent_low_data,shared3,456
reid,100,ae,20,1.1280527542112394e-05,1.60261439077658e-05,6.534911210565042e-06,20,20,0.1254540922806963,0.1466913625132292,0.0392620598956476,20,20,0.1251163204317901,0.1466914199877766,0.0392619338029476,0.0028379555,0.0020314525,latent_low_data,shared3,456
depablo_low_temp,0,ae,20,3.220341068299604e-06,6.192527428083849e-06,2.481547852539734e-07,0,0,,,,0,0,,,,0.0042025847,0.00024379634,latent_low_data,shared3,786
depablo_low_temp,10,ae,20,1.9152924295440243e-06,3.5127110038502e-06,3.1787394050297735e-07,20,20,-0.0400018005916988,0.2793975017499178,0.0884626710061093,20,20,-0.0400607488596806,0.2804199217634356,0.0890919672458267,0.0030888927,0.0004635597,latent_low_data,shared3,786
depablo_low_temp,50,ae,20,2.307563894987652e-06,1.2665057838034954e-06,3.348622152543612e-06,20,20,-0.1376122969185922,0.341167687647976,0.1210184505747164,20,20,-0.137738810525519,0.3424382564086434,0.121923909291221,0.0009357443,0.002578137,latent_low_data,shared3,786
depablo_low_temp,100,ae,20,1.2076117263859488e-05,9.909319214784772e-06,1.4242915096929207e-05,20,20,-0.1649420512900294,0.3611214718490373,0.1299516855584822,20,20,-0.1649989799126481,0.3624565449146727,0.1309363081666797,0.004135878,0.0053942106,latent_low_data,shared3,786
depablo_mixed_temp,0,ae,20,3.1521837343007066e-06,6.0715196923410986e-06,2.328478579727289e-07,0,0,,,,0,0,,,,0.004156947,0.00027088472,latent_low_data,shared3,786
