comparison,source,latent_dim,reference_dim,seed,new_context,old_reference_dim,old_context,new_valid,old_valid,new_total,old_total,delta_position_mse,delta_response_mae,delta_response_r2
remove_context_same_ae,reid,2,8,123,0,8,16,20,20,20,20,8.397914041324841e-06,0.14017072731509778,-1.62752537325717
combine,reid,2,8,123,0,96,16,20,20,20,20,7.20785892553977e-06,0.1632454437144799,-1.7422211049139693
reduce_reference,depablo_low_temp,2,8,123,16,96,16,20,20,20,20,1.9919008764190955e-06,-0.009566085710702069,0.016545743499759014
reduce_reference,depablo_mixed_temp,2,8,123,16,96,16,20,20,20,20,1.0201102440987624e-06,0.0216362826574292,-0.007115941046818786
reduce_reference,reid,2,8,123,16,96,16,20,20,20,20,-1.1900551157850714e-06,0.02307471639938212,-0.11469573165679936
remove_context_same_ae,depablo_low_temp,2,8,456,0,8,16,20,20,20,20,3.7581011611109723e-06,0.07662856631362394,-0.2355443628050904
combine,depablo_low_temp,2,8,456,0,96,16,20,20,20,20,5.028278224017413e-06,0.0843546733751397,-0.2520692711220832
remove_context_same_ae,depablo_mixed_temp,2,8,456,0,8,16,20,20,20,20,7.534460132774255e-06,0.1016828562880128,-0.29365783997552275
combine,depablo_mixed_temp,2,8,456,0,96,16,20,20,20,20,8.547956167603846e-06,0.10568316137049989,-0.31737587217974483
remove_context_same_ae,reid,2,8,456,0,8,16,20,20,20,20,1.7563690198585392e-05,0.22683692478542575,-3.1766948675067974
combine,reid,2,8,456,0,96,16,20,20,20,20,1.8495000972507114e-05,0.22898028291497446,-3.1434171990854
reduce_reference,depablo_low_temp,2,8,456,16,96,16,20,20,20,20,1.2701770629064406e-06,0.007726107061515761,-0.016524908316992826
reduce_reference,depablo_mixed_temp,2,8,456,16,96,16,20,20,20,20,1.0134960348295903e-06,0.004000305082487096,-0.023718032204222084
reduce_reference,reid,2,8,456,16,96,16,20,20,20,20,9.313107739217217e-07,0.002143358129548703,0.03327766842139723
remove_context_same_ae,depablo_low_temp,2,8,786,0,8,16,20,20,20,20,1.02689488244323e-05,0.11564083638521735,-0.520274170852016
