source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,dimension,seed,variant,kind
reid,50,20,20,0.2172187802104638,0.1464550805104971,0.03674579830514,2,456,delta_transfer3,rollout
reid,75,20,20,0.2330530857765399,0.1483626954177233,0.0381454871288846,2,456,delta_transfer3,rollout
reid,100,20,20,0.2401882542793855,0.1491833263232511,0.0392619338029476,2,456,delta_transfer3,rollout
depablo_low_temp,10,20,20,0.6094480100105499,0.1565366322358999,0.0890919672458267,2,456,delta_transfer3,rollout
depablo_low_temp,25,20,20,0.4318878383975835,0.2271709025836493,0.1113451632350467,2,456,delta_transfer3,rollout
depablo_low_temp,50,20,20,0.3354855707261176,0.2621019897345445,0.121923909291221,2,456,delta_transfer3,rollout
depablo_low_temp,75,20,20,0.3138602561093353,0.2732976663853453,0.1271388104990921,2,456,delta_transfer3,rollout
depablo_low_temp,100,20,20,0.3213079372170105,0.2744954504439163,0.1309363081666797,2,456,delta_transfer3,rollout
depablo_mixed_temp,10,20,20,0.1293586991915055,0.2673741927269329,0.1792210970466572,2,456,delta_transfer3,rollout
depablo_mixed_temp,25,20,20,0.2177830756501996,0.3083220555671136,0.1814265265332104,2,456,delta_transfer3,rollout
depablo_mixed_temp,50,20,20,0.0910450292417283,0.3082856681511944,0.1290510646927359,2,456,delta_transfer3,rollout
depablo_mixed_temp,75,20,20,0.3941468963065749,0.2781963689873326,0.1721180025747532,2,456,delta_transfer3,rollout
depablo_mixed_temp,100,20,20,0.2151767952364701,0.2693516373594143,0.1264354805514444,2,456,delta_transfer3,rollout
lj_noisy,10,20,20,-3.3858889107409667,0.0823633911762688,0.0021538442446725,2,456,delta_transfer3,rollout
lj_noisy,25,20,20,-1.253904005941001,0.0750931453354823,0.0041168599721615,2,456,delta_transfer3,rollout
lj_noisy,50,20,20,-0.9393480832137118,0.0767790243591897,0.0047651600463273,2,456,delta_transfer3,rollout
lj_noisy,75,20,20,-0.4331674690994924,0.0707501867659339,0.0050961142073924,2,456,delta_transfer3,rollout
lj_noisy,100,20,20,-0.3505707685370938,0.0722901603764919,0.0053100823581802,2,456,delta_transfer3,rollout
reid,10,20,20,0.30315914827711,0.1111174541610114,0.0283466184553629,2,456,delta_transfer3,ae
reid,25,20,20,0.8228391980764119,0.0571872835972515,0.0340742914742546,2,456,delta_transfer3,ae
reid,50,20,20,0.9448604819996118,0.0307141000128332,0.03674579830514,2,456,delta_transfer3,ae
reid,75,20,20,0.964030452575538,0.0287372839840883,0.0381454871288846,2,456,delta_transfer3,ae
reid,100,20,20,0.957377483647083,0.0318855254650376,0.0392619338029476,2,456,delta_transfer3,ae
depablo_low_temp,10,20,20,0.819203196135355,0.1059337936585537,0.0890919672458267,2,456,delta_transfer3,ae
depablo_low_temp,25,20,20,0.9433130234643264,0.0655514853876947,0.1113451632350467,2,456,delta_transfer3,ae
depablo_low_temp,50,20,20,0.963910907994502,0.0510504668941062,0.121923909291221,2,456,delta_transfer3,ae
depablo_low_temp,75,20,20,0.975585915210686,0.0418337861318254,0.1271388104990921,2,456,delta_transfer3,ae
depablo_low_temp,100,20,20,0.9829211603862394,0.0328013887810437,0.1309363081666797,2,456,delta_transfer3,ae
depablo_mixed_temp,10,20,20,0.3947461264140236,0.2605354653546938,0.1792210970466572,2,456,delta_transfer3,ae
depablo_mixed_temp,25,20,20,0.4559278287285031,0.241361026045381,0.1814265265332104,2,456,delta_transfer3,ae
depablo_mixed_temp,50,20,20,0.7400505326077176,0.1377693839209799,0.1290510646927359,2,456,delta_transfer3,ae
depablo_mixed_temp,75,20,20,0.853806258635436,0.1108581416502861,0.1721180025747532,2,456,delta_transfer3,ae
depablo_mixed_temp,100,20,20,0.875687739498998,0.087527069882051,0.1264354805514444,2,456,delta_transfer3,ae
lj_noisy,10,20,20,-2.473903471612377,0.0755783675023877,0.0021538442446725,2,456,delta_transfer3,ae
lj_noisy,25,20,20,0.2380223755740536,0.047668682634064,0.0041168599721615,2,456,delta_transfer3,ae
lj_noisy,50,20,20,0.3602119338375269,0.0455253114937491,0.0047651600463273,2,456,delta_transfer3,ae
lj_noisy,75,20,20,0.4666072431665865,0.0423091006430607,0.0050961142073924,2,456,delta_transfer3,ae
lj_noisy,100,20,20,0.3517238597906926,0.0481231986458248,0.0053100823581802,2,456,delta_transfer3,ae
reid,10,20,20,0.2198912793114739,0.1267316133909199,0.0283466184553629,2,786,acceleration_transfer3,rollout
reid,25,20,20,0.7585884438546577,0.0723634183902954,0.0340742914742546,2,786,acceleration_transfer3,rollout
